Customer.Name,total_sales,total_profit,order_count
Sean Miller,40897.5,-1870.056,19
Greg Tran,27676.5,927.8022299999999,30
Laurel Beltran,25705.5,5926.240650000001,31
Anthony Jacobs,24982.5,1368.8204999999998,27
Dave Brooks,24462.0,5216.606040000001,27
Adrian Barton,23653.5,9256.6707,33
Steve Chapman,23281.5,4729.6887,34
Cynthia Arntzen,23064.0,8631.9957,24
Rick Wilson,22545.0,5220.8688,28
Denny Joy,22536.0,4459.2863099999995,29
Mike Vittorini,22149.0,2153.7021,32
Mick Brown,22063.5,3655.81518,25
Quincy Jones,21775.5,4719.34755,18
Hunter Lopez,21753.0,7767.3732,18
Pamela Stobb,21475.5,4161.4890000000005,35
Eric Murdock,21472.5,1983.09663,35
Brosina Hoffman,21309.0,3641.72067,29
David Kendrick,21106.5,3166.6539,28
Mike Pelletier,20797.5,749.87655,39
Juliana Krohn,20644.5,3269.0375999999997,32
Katherine Nockton,20619.0,3187.6814999999997,33
Carl Ludwig,20311.5,-1763.9381100000003,34
Mike Gockenbach,20277.0,5864.9490000000005,23
Natalie Fritzler,20139.0,2208.0672,33
Joseph Holt,20035.5,-1892.72835,40
Daniel Raglin,19903.5,3472.6431000000002,29
Peter Fuller,19857.0,1826.3779499999998,29
Joy Bell-,19086.0,3734.0784000000003,32
Joe Kamberova,19078.5,2349.38955,35
Xylona Preis,19077.0,1661.15595,31
Maureen Gastineau,19056.0,2185.7805,30
Joy Smith,18963.0,603.63012,33
Justin Hirsh,18931.5,3323.1758999999997,35
Bill Eplett,18834.0,5156.4975,41
Rick Bensley,18760.5,2301.37125,37
Theone Pippenger,18442.5,3168.82815,34
Dave Kipp,18280.5,3689.97345,40
Grant Thornton,18198.0,-6198.6599400000005,22
Charles McCrossin,18072.0,1263.32538,22
Alan Hwang,18046.5,3376.0810199999996,31
Meg O'Connel,18036.0,5401.1376,29
Patrick Jones,17856.0,6642.72675,18
Ashley Jarboe,17842.5,1837.7898000000002,32
Saphhira Shifley,17796.0,-3404.1738000000005,31
Patrick O'Donnell,17694.0,4000.8115500000004,37
Tracy Blumstein,17626.5,-4579.886700000001,33
Steven Roelle,17400.0,3269.1243,35
Julie Kriz,17196.0,3365.03316,27
Michael Dominguez,17170.5,1969.7691,22
Henry Goldwyn,17122.5,-3698.8084499999995,38
Lena Radford,17085.0,4467.70059,26
Michael Chen,17067.0,1166.75385,34
Noah Childs,17037.0,1926.7123500000002,32
Jasper Cacioppo,16861.5,459.09270000000004,28
David Philippe,16840.5,1800.47568,26
Bart Watters,16818.0,2726.60715,39
Giulietta Dortch,16750.5,2256.4316999999996,29
Cari Sayre,16698.0,2392.1616,25
Justin Deggeller,16683.0,2218.75617,29
Jim Radford,16533.0,-1488.78,21
Victoria Wilson,16521.0,3813.4396500000003,31
Sarah Foster,16489.5,2489.1129,32
Aaron Hawkins,16483.5,3238.12392,29
Andrew Allen,16401.0,1328.42805,18
Trudy Glocke,16326.0,2219.18295,35
Christopher Conant,16269.0,2799.84975,30
Laura Armstrong,16245.0,1735.4934,33
Sean Christensen,16087.5,-1531.5735,28
Katharine Harms,15919.5,2633.5587,30
Barry Gonzalez,15813.0,593.48355,31
Ellis Ballard,15736.5,2673.67995,24
Jill Fjeld,15735.0,2726.3733,26
Carol Adams,15721.5,-95.05380000000001,26
Shahid Shariari,15711.0,-151.06517999999997,31
Vicky Freymann,15679.5,-752.2008,29
Brad Norvell,15678.0,-222.49934999999982,29
Barry Franz,15556.5,3264.94392,24
Elpida Rittenbach,15550.5,3472.36845,24
Harry Marie,15468.0,1938.33765,39
Nathan Gelder,15358.5,3025.5882,30
