Customer.Name,total_sales,total_profit,order_count
Kristen Hastings,12421.5,1721.6355,41
Bill Eplett,18834.0,5156.4975,41
Jonathan Howell,14142.0,1081.90425,41
Joseph Holt,20035.5,-1892.72835,40
Dave Kipp,18280.5,3689.97345,40
Philip Fox,11524.5,756.2994000000001,40
Matthew Clasen,15069.0,1551.9211500000001,40
Harry Marie,15468.0,1938.33765,39
Anna Andreadi,12303.0,2763.82485,39
Bart Watters,16818.0,2726.60715,39
Mike Pelletier,20797.5,749.87655,39
Keith Dawkins,14556.0,2252.0949,39
Jim Mitchum,9225.0,417.47235000000006,38
Michael Paige,11332.5,1259.7621,38
Nathan Mautz,11605.5,2231.83005,38
William Brown,10521.0,2031.1266,38
Anthony Rawles,10561.5,2307.0648,38
Henry Goldwyn,17122.5,-3698.8084499999995,38
Steven Ward,11368.5,416.45685000000003,37
John Grady,10738.5,657.4070999999999,37
Patrick O'Donnell,17694.0,4000.8115500000004,37
Rick Bensley,18760.5,2301.37125,37
Alice McCarthy,14740.5,939.8430000000001,37
Valerie Mitchum,7536.0,225.7323,37
Matt Collins,11997.0,225.37914000000018,37
Denise Leinenbach,12130.5,1627.6143,37
Heather Jas,13435.5,1662.9655500000001,36
Resi Pölking,11239.5,-857.9026500000001,36
Parhena Norris,9477.0,1207.40295,36
Thomas Seio,6064.5,1094.5623,36
Jennifer Braxton,12354.0,1869.6258,36
Sam Zeldin,14896.5,3347.62995,36
Sam Craven,6871.5,1164.4098,36
Dan Lawera,8011.5,-958.8018000000001,36
Henry MacAllister,10003.5,-133.84665,36
Sanjit Engle,15054.0,1490.6613,36
Trudy Glocke,16326.0,2219.18295,35
Pamela Stobb,21475.5,4161.4890000000005,35
Julie Prescott,9634.5,2054.0937,35
Pauline Webber,7876.5,858.02715,35
Kelly Andreada,8058.0,1649.45325,35
Jane Waco,13948.5,2660.6211,35
Adam Bellavance,13423.5,4109.6685,35
Steven Roelle,17400.0,3269.1243,35
Sarah Brown,12222.0,1449.14301,35
Ben Ferrer,9691.5,2261.0133,35
Eric Murdock,21472.5,1983.09663,35
Joe Kamberova,19078.5,2349.38955,35
Justin Hirsh,18931.5,3323.1758999999997,35
Kean Takahito,12498.0,1044.5073,35
Shahid Collister,10581.0,846.16323,35
Damala Kotsonis,14080.5,1061.41395,35
Michael Chen,17067.0,1166.75385,34
Olvera Toch,9415.5,1904.41359,34
Carl Ludwig,20311.5,-1763.9381100000003,34
Patrick Gardner,8206.5,1314.7518,34
Steve Chapman,23281.5,4729.6887,34
Dianna Wilson,6615.0,1676.59089,34
Bryan Mills,11928.0,2338.1414999999997,34
Marc Crier,15285.0,1960.09371,34
Clytie Kelty,9351.0,479.6647200000001,34
Theone Pippenger,18442.5,3168.82815,34
Rob Dowd,8796.0,1840.9386,34
Patrick O'Brill,7552.5,747.2736,34
Cari MacIntyre,7362.0,839.8782,34
Alejandro Ballentine,13792.5,979.3023000000001,34
Adrian Barton,23653.5,9256.6707,33
Monica Federle,8335.5,1054.2945,33
Joe Elijah,11460.0,2003.30775,33
Khloe Miller,14856.0,1011.5328000000001,33
Maxwell Schwartz,10750.5,344.17941,33
Natalie Fritzler,20139.0,2208.0672,33
Barry Blumstein,10485.0,438.26835000000005,33
Tamara Chand,7548.0,830.3651999999998,33
Tracy Blumstein,17626.5,-4579.886700000001,33
Joy Smith,18963.0,603.63012,33
Katherine Nockton,20619.0,3187.6814999999997,33
Richard Bierner,4350.0,186.34695000000002,33
Brian Moss,8811.0,2728.32615,33
Gary Zandusky,8767.5,-76.04295000000002,33
Michael Moore,13168.5,-613.4262000000003,33
Mark Cousins,10705.5,2041.1335499999998,33
Chloris Kastensmidt,10359.0,516.4725000000001,33
Laura Armstrong,16245.0,1735.4934,33
Katrina Edelman,10561.5,1279.31805,33
Dennis Pardue,6988.5,364.5247500000001,32
Emily Phan,14613.0,3317.68221,32
Noel Staavos,11172.0,173.36594999999977,32
Phillip Flathmann,8383.5,2326.0257,32
Steve Carroll,8442.0,401.7768,32
Becky Martin,8160.0,93.49995000000001,32
Art Ferguson,9970.5,141.16650000000004,32
Steven Cartwright,8001.0,908.3433,32
Roy Phan,9154.5,-95.50710000000004,32
Darren Koutras,12342.0,1459.9797,32
Greg Hansen,13204.5,1833.38475,32
Shui Tom,13315.5,1859.5218,32
Darrin Martin,13072.5,366.40215,32
Justin MacKendrick,5482.5,1261.1301,32
Don Jones,15172.5,2243.9598,32
Roger Demir,4015.5,822.1281,32
Noah Childs,17037.0,1926.7123500000002,32
Ross Baird,7738.5,1005.7969499999999,32
Paul Stevenson,10740.0,1775.0184000000002,32
Erica Smith,5176.5,520.94865,32
Ashley Jarboe,17842.5,1837.7898000000002,32
Sarah Foster,16489.5,2489.1129,32
Hunter Glantz,15201.0,112.26359999999997,32
Aaron Bergman,10990.5,2343.84765,32
Lela Donovan,6846.0,905.53572,32
Maribeth Schnelling,9291.0,2192.1086999999998,32
Juliana Krohn,20644.5,3269.0375999999997,32
Mike Vittorini,22149.0,2153.7021,32
Joy Bell-,19086.0,3734.0784000000003,32
Paul Gonzalez,7557.0,294.1555500000001,32
Xylona Preis,19077.0,1661.15595,31
Sonia Cooley,8407.5,982.299,31
Stefania Perrino,9576.0,-1124.5227,31
Laurel Beltran,25705.5,5926.240650000001,31
Helen Wasserman,12940.5,2352.063,31
Jeremy Farry,10366.5,-313.60260000000005,31
Karl Braun,8421.0,-600.8727,31
Saphhira Shifley,17796.0,-3404.1738000000005,31
Harry Greene,5802.0,803.625,31
Emily Ducich,12787.5,2493.8953500000002,31
Daniel Byrd,11754.0,990.0708000000002,31
Filia McAdams,11758.5,-378.75884999999994,31
Lori Olson,8676.0,1226.3151,31
Alan Hwang,18046.5,3376.0810199999996,31
Dorothy Wardle,5731.5,-1061.7786,31
Logan Haushalter,7812.0,-234.74310000000003,31
Victoria Wilson,16521.0,3813.4396500000003,31
Eugene Hildebrand,13596.0,1578.9633,31
Ed Ludwig,11097.0,664.2771,31
Tracy Collins,9253.5,2056.6935,31
Barry Gonzalez,15813.0,593.48355,31
Maria Etezadi,9843.0,896.7280499999999,31
Shahid Shariari,15711.0,-151.06517999999997,31
Frank Merwin,6895.5,804.6750000000001,31
Toby Swindell,7764.0,983.4731400000001,31
Philip Brown,5806.5,223.38180000000006,31
Bruce Degenhardt,11383.5,2585.55168,31
Harold Engle,4216.5,-423.19665000000003,31
Becky Castell,5845.5,1059.8742,30
Mark Hamilton,8469.0,1539.97668,30
Mark Packer,5848.5,69.1896,30
Erica Hernandez,10122.0,1523.8947,30
Dean percer,8610.0,1639.26135,30
Thomas Boland,6735.0,1286.0064,30
Erin Smith,11845.5,706.77495,30
